Membership Type,Number,Organization Name,Address,State
ASSOCIATE MEMBERS,48,Dhanlakshmi Biochem Private Limited 55 FCI Aravali Gypsum and Minerals India Limited,"Prahladnagar, Satellite, A Government of India Undertaking, Ahmedabad 380 015 2, West Patel Nagar, Circuit House Road, Gujarat Ratanada, Jodhpur 342 011, Rajasthan",Gujarat
ASSOCIATE MEMBERS,49,Dhanuka Agritech Limited 56 Fertiplant Engineering Co. Private Limited,"Dhanuka Group, Global Gateway Towers, Moray House, 2nd Floor, Tower ‘B’, Near Guru Dronacharya Metro Station, 226, S.V. Road, Bandra (West), M.G. Road, Mumbai 400 050, Gurugram 122 002 Maharashtra, Haryana",Maharashtra
ASSOCIATE MEMBERS,57,Fertis India Private Limited 64 Green Grow Nutrients Private Limited,"Plot No.73, SMR House, 3rd Floor, #20, 2nd Floor, SJP Arcade, Nagarjuna Hills, Panjagutta, 2nd Cvoll, Balaji Layout, Dasarahalli, Hyderabad 500 082 Bengaluru 560 024, Telangana Karnataka",Telangana
ASSOCIATE MEMBERS,58,Finozen Nutrigation LLP 65 Green Planet Bio Products,"286, Gurkripa, Sindh Co-Operative G.P. Tower, 1 Amar Garden, Housing Society, Aundh Near Pathankot Byepass Chowk, NH-1, Pune 411 007 Jalandhar 144 004, Maharashtra Punjab",Maharashtra
ASSOCIATE MEMBERS,59,Galiakotwala Engineering Company Private Limited 66 Growell Resources & Management Private Limited,"65/66, Maker Chambers - III Bharat Insurance Building, 2nd Floor, Nariman Point 15-A, Horniman Circle Fort, Mumbai 400 021 Mumbai 400 001, Maharashtra Maharashtra",Maharashtra
ASSOCIATE MEMBERS,60,Gayatri Fertiplants International Private Limited 67 Growmax Agro Private Limited,"G-1, 269-270, RIICO Industrial Area Door No. 32, 2nd Main Road, Khuskhera New Colony, Chromepet, Alwar 301 707 Chennai 600 044, Rajasthan Tamil Nadu",Rajasthan
ASSOCIATE MEMBERS,61,GDS Chemicals & Fertilizers Private Limited 68 Gujarat Agro Industries Corporation Limited,"Aska Road, Near Sarguna Street, Gujarat State Civil Supply Corporation Admin Building, Berhampur, CH-Road, Sector - 10A, District Ganjam 760 006 Gandhinagar 382 010, Odisha Gujarat",Gujarat
ASSOCIATE MEMBERS,62,Gencrest Bio Products Private Limited 69 Gujarat Boron Derivatives Private Limited,"7, Gala Impecca, Andheri (East) Synergy House - 2, Mumbai 400 059 Gorwa Subhanpura Road, Maharashtra Baroda 390 023, Gujarat",Maharashtra
ASSOCIATE MEMBERS,63,Godrej and Boyce Manufacturing Co. Limited 70 HBS Fertilisers & Chemicals Industries Private,"Plant No. - 19A, Process Equipment Division 1, Abdul Hamid Street, Pirojshanagar, Vikhroli West 5th Floor, Room No. - 502, Mumbai 400 079 Kolkata 700 069, Maharashtra West Bengal",Maharashtra
ASSOCIATE MEMBERS,71,HCM Agro Products Private Limited 78 Indian Phosphate Limited,"RR-29, First Floor, Miyan Wali Nagar F-234, 1E, Mewar Industrial Area, Paschim Vihar, Madri, New Delhi - 110 087 Udaipur 313 003, Rajasthan",Rajasthan
ASSOCIATE MEMBERS,72,HE Marketing Private Limited 79 Indotech Speciality Private Limited,"H-Energy Group of Companies ""Shiv Kashi"" Plot No. 20, 514, Dalamal Tower, 211, Free Press Journal Marg Vivekanand Housing Society, Tilaknagar, Nariman Point Aurangabad 431 005, Mumbai 400 021 Maharashtra, Maharashtra",Maharashtra
ASSOCIATE MEMBERS,73,HIL (India) Limited 80 Innovative India Agrify Private Limited,"Scope Complex, 2nd Floor, Core-6, Pride Icon No. 70, First Floor, 7, Lodi Road, Gokulroad, Hubballi, New Delhi - 110 003 Distt. Dharwad 580 030, Karnataka",Karnataka
